Gene,Score
HPS4,0.0061328933
HPS1,0.0024759786
INHBB,0.16134629
INHBA,0.40026057
FAM20A,0.00020108679
FAM20C,0.0013320588
PARP1,0.018429894
RAD52,0.016238078
RNF168,0.00092995854
SP100,0.00034329196
TDG,0.9436016
WRN,0.0041379626
XPC,0.00076623005
MITF,0.25459167
SP3,0.08196913
TP53BP1,0.12560248
CDKN2A,0.4410496
HIC1,0.11252921
FOXL2,0.005860856
DDX17,0.012321102
SATB1,0.11608249
SUZ12,0.0015430732
HDAC4,0.0065201204
HDAC1,0.8172557
HDAC2,0.0004930445
CHD3,0.025825236
HNRNPC,0.00032731393
NOP58,0.0012867802
TOP1,0.0030768672
TOP2A,0.1473916
TOP2B,0.04561894
SETDB1,0.010689093
ATF7IP,0.03315231
PRMT5,0.005352656
WDR77,0.0013858752
PINK1,0.010439863
ERBB4,0.9578831
RELN,0.49336684
VLDLR,0.010165723
ASGR1,0.00061358477
ASGR2,0.00015797943
EGR1,0.5830122
SALL4,0.0065448117
MAF1,0.0006604544
ARHGAP35,0.017234942
RASA1,0.98381376
BCAR1,0.0030789098
RXRG,0.13578616
RARG,0.16664694
RXRA,0.20020288
RARA,0.23643577
RXRB,0.11789204
RARB,0.03564218
PPARD,0.049646117
NRP2,0.07891056
FLT1,0.03334128
KITLG,0.007449212
KIT,0.031206423
PRKCA,0.6994362
PTPRU,0.11127366
NCOR1,0.8299552
TNS4,0.008820759
MET,0.00610491
LRIG1,0.000804225
PAN2,0.020171989
PAN3,0.006180272
POMT2,0.0019647998
POMT1,0.0010822564
C1GALT1C1,8.1017606e-05
C1GALT1,0.0017540815
PMPCA,2.0335988e-06
PMPCB,0.0044222586
ATF6,0.022361351
HSPA5,0.017143568
EIF2AK3,0.0022891066
ERN1,0.05471144
PIK3R4,0.0046250843
PIK3C3,0.009785428
TKFC,0.0011132292
IFIH1,0.0016252107
CFL1,0.0011738441
LIMK1,0.049282346
PGLYRP4,0.004808844
PGLYRP3,0.0033095824
PPARG,0.9687488
SLC3A1,0.0069120848
DACT1,0.033949863
AXIN1,0.003758841
GSK3B,0.52183
PFKP,0.0028649538
PFKL,0.00032050413
PFKM,0.008151602
GCKR,0.00263943
GCK,0.0014026592
ANK1,0.0026934273
NRCAM,0.008752353
CNTN2,0.014049744
CHL1,0.02809903
NFASC,0.0017452027
DCX,0.0007654553
SDCBP,0.015499958
PLXNB1,0.03760447
ERBB2,0.84758407
TLN1,0.009856947
PIP5K1C,0.023781832
PLXND1,0.0029191442
SEMA3E,0.014214392
SEMA4A,0.030790228
PTPRC,0.9582752
SEMA4D,0.01080042
CD72,0.00028356607
PLXNC1,0.0011222931
SEMA7A,0.004831762
FYN,0.12838517
ROBO2,0.0005370777
SAV1,0.006140457
STK3,0.0017778829
STK4,0.021359108
TJP2,0.18211472
WWTR1,0.079155736
ADD2,0.004569429
ADD1,0.03716666
ADD3,0.0021378056
AZGP1,0.026755031
PIP,0.011922491
LRRC8A,0.001220003
LRRC8B,8.6332366e-05
LRRC8E,0.001675301
LRRC8D,0.0004961298
LRRC8C,0.0005684586
CDC25C,0.18042317
SRPRB,2.6819826e-05
SRPRA,0.0003558891
MLXIPL,0.0025114478
MLX,0.012977634
SLC16A3,0.0017076602
SLC16A1,0.00017542111
PAK1,0.46162018
NF2,0.42473164
FLNA,0.24804421
PKN1,0.0055530076
CIT,0.011461354
CDKN1B,0.93271923
CFTR,0.62898415
GOPC,0.05527811
NAE1,0.00028423677
UBA3,0.0026885236
UBE2F,3.1734384e-05
CUL4B,0.0009369455
CUL4A,0.0012379781
RBX1,0.3677207
CUL9,0.0011000638
LEPR,0.5528427
TIMM13,0.00022867888
TIMM8B,0.00019739063
TIMM8A,0.0006593968
TIMM10,1.8740271e-06
TIMM9,2.7195078e-05
RNGTT,0.0003806418
RNMT,0.0016620908
SRRM1,0.013738372
SRRM2,0.00024815506
EPRS,0.000984581
DUS2,0.001233439
WDR4,0.00026513851
METTL1,0.00043383322
QTRT1,0.00060540804
QTRT2,5.21357e-05
TRMT6,0.00014184769
TRMT61A,0.00014195486
PIGX,0.0021667886
PIGM,0.0019643875
PIGF,0.0002515957
PIGO,0.00081512245
PIGG,0.0010614152
EIF4A2,0.00031617485
EIF4A1,0.0005434718
PSEN1,0.34615684
NCSTN,0.2225732
PPP1CC,0.10057105
PPP1R15A,0.2578956
MMADHC,0.00014103833
MMACHC,0.0005948759
GP1BB,0.0024555859
GP1BA,0.003753994
HLA-DOA,0.0002909875
HLA-DOB,0.00025667463
NFKBIE,0.058701973
REL,0.01865725
TLE1,0.0070811207
STXBP3,0.00012384511
ATP6V0D2,0.0009157027
ATP6V0D1,1.991084e-05
ORC2,0.00032955053
MCM8,0.0011065486
CD8B,0.008876534
CD8A,0.017848337
CD3E,0.0070931395
CD3G,0.0030623786
CD3D,0.02374188
SEC31A,0.005259749
SEC13,0.065575704
KLRD1,0.00061184715
KLRC2,0.0011164864
STXBP1,4.20236e-05
BMI1,5.3897274e-05
