Gene,Score
APOA1,0.00015517652
ANGPTL3,0.0022860658
ANGPTL8,0.008743818
UBA2,0.002412059
SAE1,0.00671593
CCND3,0.126707
MAPK6,0.0019022125
ITGA3,0.0008346464
ITGA7,0.0011943858
ITGA2,0.0038902925
ITGA1,0.002966304
ATP6AP2,0.00039219842
REN,0.0014270383
NSUN4,0.006912978
MTERF4,0.006843412
ITGB3,0.3934467
ITGA2B,0.0013686533
LDLR,0.03955916
PCSK9,0.00015853655
TMEM173,0.0064134556
TBK1,0.00086882827
CD27,0.00590158
CD70,0.0024616155
EDAR,0.000940744
EDA,3.8925802e-05
EDA2R,0.0029260863
TNFSF18,0.00015618774
TNFRSF18,0.0010992258
TNFRSF4,0.0023322727
TNFSF4,8.175747e-05
TNFRSF25,0.0019749852
TNFSF15,0.0004982328
TNFSF8,0.0055973674
TNFRSF8,0.0118779605
TNFSF9,0.0064974176
TNFRSF9,0.015132221
PTK6,0.288823
KHDRBS1,0.17831898
ARAP1,0.004643437
AKT1,0.45637208
DOK1,0.019993503
PTPN1,0.5041606
STAP2,0.015264203
SOCS3,0.16308656
ITGA10,0.0008600225
GP6,0.003641548
RAF1,0.98162764
YWHAZ,0.5640527
PDPN,0.0012737293
CLEC1B,0.0007664148
PDGFA,0.0003787256
PDGFB,0.0008610893
ITGAM,0.046580806
ITGB2,0.052842394
JAM2,0.0004739162
JAM3,0.00051403686
ITGA4,0.0050316476
ITGAL,0.0053574257
ITGAX,5.692479e-05
CD48,0.027991155
CD244,0.006438207
CD58,0.003104026
CD2,0.006103281
ITGA5,0.0030577192
JAML,0.0018976424
CXADR,0.008182018
MIF,4.160955e-05
CD74,0.030575043
TEK,0.042523026
ANGPT1,0.0024313638
ANGPT2,0.0026876132
ANGPT4,0.00012633005
INPP5D,0.11072082
PLCG1,0.010773158
BSG,0.010587848
PPIL2,0.002305928
CAV1,0.9569302
PPIA,0.007033991
SLC7A7,0.00040972893
SLC3A2,0.0013893738
SLC7A8,0.0002913331
SLC7A9,0.0010048565
SLC7A11,0.0051387623
SLC7A5,0.0017899012
SLC7A10,0.0005057556
SLC7A6,0.004247958
GAD2,0.0009345921
GAD1,0.2047184
HTR3D,0.000924158
HTR3A,0.023781274
HTR3E,0.0018397594
HTR3B,0.0049768733
HTR3C,5.192681e-05
SMAD2,0.9923516
GBA,0.001084929
PSAP,0.037043136
LY86,0.006324965
CD180,0.0003894271
COLEC11,0.0015616772
MASP1,0.004856767
GJB1,0.0010272675
GJB2,0.0006991719
GJA1,0.0007639636
TJP1,0.07291942
NEDD4,0.9964587
PPM1B,0.09005606
FLNB,0.02323515
IL33,0.0017427083
IL1RL1,0.008586009
IL37,0.011332608
CSF2RB,0.030331086
CSF2RA,0.00054281426
CSF2,0.00074810424
IL5RA,0.0043151244
IL5,0.00012005769
TEC,0.023395889
VAV1,0.2775715
BLNK,0.028548375
IL4R,0.045280498
IL13RA1,0.00326599
IL13,0.0010723196
IL13RA2,0.020170325
IL7R,0.005823343
SMARCA4,0.15680435
BRWD1,0.057566836
IL22RA2,5.137496e-07
IL22,3.9654134e-07
IFNLR1,2.1623633e-05
IL16,0.028563036
IL32,0.0005004198
PRTN3,0.0034035344
FLT3,0.044664405
FLT3LG,0.00084219675
CSF3,0.00031151623
CSF3R,0.0053638965
TXLNA,0.00036925735
STX1A,0.00035283933
GHR,0.10694515
PRLR,0.067418955
TRAF3,0.048190743
TNFRSF1B,0.012361054
CD40LG,8.657837e-05
CD40,0.33407837
TNFRSF13C,0.00120313
TNFSF13B,0.0009288003
PAG1,0.012545387
CSK,0.0084261745
PTPN22,0.01948516
LAT,0.012003012
FYB1,0.005985162
NCK1,0.15620278
MAP3K7,0.05946969
TAB2,0.022858763
ICOS,0.010866588
ICOSLG,0.005371363
TNFRSF14,0.0009692578
BTLA,0.0003111986
CD80,0.0020843649
CD28,0.0001049373
CD86,0.01580821
NFKBIA,0.41845483
CLTC,0.0012102673
CLTA,0.0010744691
HLA-DMB,0.022025116
HLA-DMA,0.0025909988
CD96,0.0029993965
ITGB7,0.0027003915
HLA-E,0.0013683803
CDH1,0.9874657
KLRG1,0.0015973542
CD226,0.00014215072
CD200,0.00024155686
CD200R1,0.0029467116
HLA-G,0.00014238515
KIR2DS2,0.0065513733
CLEC2D,0.0032685816
KLRB1,0.006395165
XDH,0.0077671623
BTN1A1,0.011884986
ITGB6,0.027234592
TGFB1,0.058480706
LTBP4,0.0072204825
ITGA8,0.017572701
ITGB8,0.0068112407
SNCAIP,0.0061713224
PRKN,0.000972523
SNCA,0.8171969
USP9X,0.004164213
SORL1,0.0072875796
APP,0.9977558
ATG12,0.0016477728
ATG7,0.0003375209
ATG10,5.572958e-05
ATG5,0.0036974754
CIDEA,0.002980878
CIDEC,0.014315853
PDGFRB,0.99367577
PDGFRA,0.7501543
TGFBR2,0.873007
YWHAB,0.48623872
MAP2K2,0.009453125
MAP2K1,0.33870372
KSR1,0.00031128226
MARK3,0.0045135166
CDK9,0.23949042
CCNT1,0.3459031
ISCA2,0.0006628995
ISCA1,0.00035444496
NLRX1,0.012781775
MAVS,0.0076110577
ROBO1,4.134833e-05
SLIT2,0.00045058414
NTF3,0.006518839
AKAP5,0.58859104
ROBO3,0.00019227334
CFH,0.010472682
CD19,0.013970298
CD81,0.0025988484
SERPING1,0.00024960755
C1S,0.027010918
C1R,0.00063232845
CPN2,0.00010021297
CPN1,0.0007279266
L1CAM,0.0016314673
NRP1,0.017071143
ITGA9,0.0011363367
MAPK3,0.85530627
MAPK1,0.9813923
C6,0.0050446554
FARSA,0.0053937812
FARSB,0.003106708
HBB,4.6261007e-06
HBA1,0.00016491755
HBA2,0.0017822217
SMURF2,0.04856081
SMURF1,0.36788064
NEDD4L,0.04824176
STUB1,0.0060670003
UBE2M,0.0029629231
NEDD8,0.0025304684
RNF20,0.03786235
RNF40,0.006626473
FRK,0.07891567
TRIM27,0.0038806312
ITGA11,0.000853854
ITGAD,0.0023669424
ITGAE,0.0004483953
HSPG2,0.003145707
LDHA,0.35982725
LDHB,0.0023996786
SUCLG1,0.008654047
SUCLG2,0.008434513
SUCLA2,5.989901e-05
TIMP1,0.06427679
MMP9,0.0037694676
MMP14,0.06891755
TIMP2,0.002538112
RBBP7,0.058472767
HAT1,0.05437499
PAX3,0.23258936
NCOA1,0.81787103
BAP1,0.025176069
HCFC1,0.49199688
TAB1,0.06018971
SKP2,0.42078745
UFD1,0.0018345419
VCP,0.18249242
YOD1,0.00015543243
ZRANB1,0.0001685862
APC,0.46033695
ATXN3,0.0021876383
STAMBP,0.0036709215
STAM,0.005595303
NTRK3,0.45814452
PTPRS,0.0031585058
SERPINE1,0.0011306788
VTN,0.020478444
DAG1,0.013581058
AGRN,0.002144105
BCL10,0.39217046
SLIT1,0.010064182
RALGAPA2,4.3401838e-06
RALGAPB,1.1282168e-05
GOLGB1,0.0062744766
ACBD3,0.0009047398
HPS4,0.008002018
HPS1,0.0014516285
INHBB,0.0017138378
INHBA,0.0053567775
FAM20A,0.00078839244
FAM20C,0.00010067914
PARP1,0.798055
RAD52,0.014014943
RNF168,0.0006727015
SP100,0.47542405
TDG,0.12570152
WRN,0.33463317
XPC,0.03881667
MITF,0.3335047
SP3,0.11449517
TP53BP1,0.49317273
CDKN2A,0.23446882
HIC1,0.6321387
FOXL2,0.004623468
DDX17,0.010812174
SATB1,0.140309
SUZ12,0.06534261
HDAC4,0.38409498
HDAC1,0.99577785
HDAC2,0.15647238
CHD3,0.8508362
HNRNPC,0.0109929135
NOP58,0.005168844
TOP1,0.44858512
TOP2A,0.009402502
TOP2B,0.15633361
SETDB1,0.1857462
ATF7IP,0.37531552
PRMT5,0.008665206
WDR77,0.0006937092
PINK1,0.003260659
ERBB4,0.9989334
RELN,0.0026719333
VLDLR,0.0031932918
ASGR1,0.0054641725
ASGR2,0.000324615
EGR1,0.98132175
SALL4,0.0073170997
MAF1,0.0033057295
ARHGAP35,0.004122858
RASA1,0.95287085
BCAR1,0.4594245
RXRG,0.03133466
RARG,0.11670047
RXRA,0.6360114
RARA,0.58586407
RXRB,0.111320406
RARB,0.26196572
PPARD,0.4540201
NRP2,0.009024521
FLT1,0.0029464974
KITLG,0.0032318376
KIT,0.6501042
PRKCA,0.6653996
PTPRU,0.017892826
NCOR1,0.99974066
TNS4,0.0019174316
MET,0.33320448
LRIG1,0.005587927
PAN2,0.00018630586
PAN3,0.0036628314
POMT2,6.1459126e-05
POMT1,0.00051659794
C1GALT1C1,0.0019097214
C1GALT1,0.0015776176
PMPCA,0.0026093507
PMPCB,7.254362e-05
ATF6,0.06089577
HSPA5,0.52296746
EIF2AK3,0.007710642
ERN1,0.006769167
PIK3R4,0.00074716413
PIK3C3,0.004920138
TKFC,0.0016468271
IFIH1,0.001493603
CFL1,0.056485664
LIMK1,0.1585829
PGLYRP4,6.770683e-07
PGLYRP3,4.8315687e-05
PPARG,0.79291254
SLC3A1,0.00025234523
DACT1,0.006100701
AXIN1,0.21373542
GSK3B,0.7537905
PFKP,0.016848372
PFKL,0.0029920365
PFKM,0.0046601105
GCKR,0.0125062065
GCK,0.00014343893
ANK1,0.025935136
NRCAM,0.009717935
CNTN2,0.00971938
CHL1,0.0013732696
NFASC,0.0047763893
DCX,0.038719162
SDCBP,0.33144525
PLXNB1,0.060131446
ERBB2,0.9977914
TLN1,0.02572394
PIP5K1C,0.02342278
PLXND1,0.0048334496
SEMA3E,0.0010636917
SEMA4A,0.00396607
PTPRC,0.0110604605
SEMA4D,0.00071909843
CD72,0.05754119
PLXNC1,0.0020115948
SEMA7A,0.007936729
FYN,0.017535448
ROBO2,0.051925924
SAV1,0.0019143214
STK3,0.00020218901
STK4,0.0033423223
TJP2,0.02703558
WWTR1,0.053367954
ADD2,0.000564261
ADD1,0.046009555
ADD3,0.01693024
AZGP1,0.0012459881
PIP,0.003971887
LRRC8A,0.00051880814
LRRC8B,0.052738518
LRRC8E,0.005534432
LRRC8D,0.017972395
LRRC8C,0.0016077048
CDC25C,0.006310979
SRPRB,0.0004077663
SRPRA,0.0009653309
MLXIPL,0.0041994927
MLX,0.01610329
SLC16A3,0.0024755604
SLC16A1,0.00060901727
PAK1,0.358545
NF2,0.49800375
FLNA,0.054904222
PKN1,0.18597855
CIT,0.005151843
CDKN1B,0.39799654
CFTR,0.031858854
GOPC,0.0808315
NAE1,0.0001522926
UBA3,0.00083817064
UBE2F,0.0006733994
CUL4B,0.0010629289
CUL4A,0.0031384157
RBX1,0.03383867
CUL9,0.0031627887
LEPR,0.12085905
TIMM13,0.0022015676
TIMM8B,0.0018267184
TIMM8A,0.0045077787
TIMM10,0.00015054471
TIMM9,0.009001237
RNGTT,0.0037945746
RNMT,0.0073924186
SRRM1,0.006536496
SRRM2,0.0033213103
EPRS,0.00050358084
DUS2,0.0025639383
WDR4,0.0047349264
METTL1,0.0028201628
QTRT1,0.0015188219
QTRT2,0.0009564329
TRMT6,0.0053156833
TRMT61A,0.002082701
PIGX,0.007982435
PIGM,0.008110519
PIGF,0.00044597662
PIGO,0.00064263406
PIGG,0.0005168789
EIF4A2,0.0022876358
EIF4A1,0.00071989035
PSEN1,0.6377725
NCSTN,0.01010971
PPP1CC,0.011262207
PPP1R15A,0.0139373625
MMADHC,0.0035653366
MMACHC,0.006483531
GP1BB,0.056332465
GP1BA,0.023638034
HLA-DOA,0.0038058753
HLA-DOB,0.0029211615
NFKBIE,0.005737086
REL,0.07483651
TLE1,0.15766361
STXBP3,0.0009923138
ATP6V0D2,0.0014263686
ATP6V0D1,0.00011349664
ORC2,0.0030134607
MCM8,0.029400615
CD8B,0.003124721
CD8A,0.0008670461
CD3E,0.20345838
CD3G,0.0021738138
CD3D,0.0018722633
SEC31A,0.0015816694
SEC13,0.0020026185
KLRD1,0.00053626235
KLRC2,0.0069221375
STXBP1,0.0021857822
BMI1,0.0008062569
CBX4,0.11481774
HSP90AA1,0.60014373
FKBP6,0.014638598
TTC21B,0.0011877539
WDR35,0.0013344835
PTK2,0.77390903
MAFB,0.0748473
VAMP2,0.0008121642
DDB1,0.026369672
IL17A,0.0021964586
IL17F,0.00027732542
KHSRP,0.01313655
PBX1,0.0056629255
PKNOX1,0.0035162368
DLG3,0.01265729
DLG4,0.84690404
CD1A,0.0015769708
CD1B,0.021871293
CD1D,0.0027324166
CD1C,0.0025157891
RAG2,0.0034266391
RAG1,0.07487955
ERLIN1,0.004509553
ERLIN2,0.026323374
ZFHX3,0.9999894
OTUB1,0.004049231
RNF128,0.0014055496
HSD17B10,0.0030810605
TRMT10C,0.0003045645
ZNF335,0.09640502
CNOT6,0.0039886883
RFX6,0.0019580082
IL6ST,0.015884224
CUL5,0.0004242732
CUL3,0.98772484
CUL2,0.004257776
PHB2,0.004952493
PHB,0.0010235987
RANGAP1,0.0071176775
