Gene,Score
RAF1,0.31167483
YWHAZ,0.9832523
PDPN,4.839819e-07
CLEC1B,8.988182e-05
PDGFA,0.01069057
PDGFB,0.0032032977
ITGAM,9.0237927e-07
ITGB2,0.0292873
JAM2,3.6443213e-05
JAM3,0.00089464965
ITGA4,0.005274059
ITGAL,5.847912e-05
ITGAX,0.0016335804
CD48,0.00038514458
CD244,0.0041122506
CD58,0.0011215262
CD2,0.021760851
ITGA5,0.08337183
JAML,0.0001991347
CXADR,0.00053299183
MIF,0.007285038
CD74,0.028400144
TEK,0.0377895
ANGPT1,0.00010222906
ANGPT2,0.00031417125
ANGPT4,0.00255042
INPP5D,0.018385716
PLCG1,0.10374405
BSG,0.001048003
PPIL2,0.007864843
CAV1,0.018201776
PPIA,7.620611e-05
SLC7A7,4.7216945e-05
SLC3A2,0.0028863035
SLC7A8,0.0014937032
SLC7A9,0.00054458604
SLC7A11,0.00016139583
SLC7A5,0.0007114354
SLC7A10,3.2483642e-06
SLC7A6,0.0048715696
GAD2,0.00011004286
GAD1,0.0051571075
HTR3D,5.1277253e-05
HTR3A,2.128996e-05
HTR3E,0.0001330767
HTR3B,1.0533092e-06
HTR3C,6.229561e-06
SMAD2,0.77570623
GBA,0.001333831
PSAP,0.007795275
LY86,0.00015339907
CD180,3.8681497e-05
COLEC11,0.0036039592
MASP1,3.4984296e-05
GJB1,0.0003694681
GJB2,1.572721e-05
GJA1,0.0013351981
TJP1,0.0024589426
NEDD4,0.970303
PPM1B,0.027138384
FLNB,0.025263682
IL33,0.002684679
IL1RL1,0.002753026
IL37,7.6072516e-05
CSF2RB,0.07536761
CSF2RA,0.008388184
CSF2,0.00016208769
IL5RA,0.00035940806
IL5,4.640558e-05
TEC,0.055818554
VAV1,0.4488329
BLNK,0.036084358
IL4R,0.02831834
IL13RA1,0.00038530305
IL13,0.0011014149
IL13RA2,0.012478142
IL7R,0.002641663
SMARCA4,0.08828633
BRWD1,0.0055457186
IL22RA2,1.9268443e-08
IL22,2.4821096e-08
IFNLR1,0.00043544997
IL16,0.0067516244
IL32,6.067441e-06
PRTN3,0.0008071536
FLT3,0.0002608434
FLT3LG,0.00042718733
CSF3,0.00069967186
CSF3R,0.0021061653
TXLNA,0.008326119
STX1A,5.251833e-05
GHR,0.0062081106
PRLR,0.038393226
TRAF3,0.17756446
TNFRSF1B,0.008026659
CD40LG,2.464024e-05
CD40,0.0012616665
TNFRSF13C,3.9397545e-07
TNFSF13B,0.022151727
PAG1,0.0059490274
CSK,0.064138465
PTPN22,0.048198815
LAT,0.00018791186
FYB1,0.0022364287
NCK1,0.020333355
MAP3K7,0.809201
TAB2,0.6267858
ICOS,0.008537466
ICOSLG,4.1432955e-05
TNFRSF14,0.0037848102
BTLA,6.104918e-05
CD80,0.00080580905
CD28,0.0003451178
CD86,0.0001473459
NFKBIA,0.68921214
CLTC,0.59222496
CLTA,0.2820606
HLA-DMB,8.504734e-06
HLA-DMA,1.2339871e-06
CD96,0.001080623
ITGB7,0.034656253
HLA-E,1.2612687e-06
CDH1,0.22884977
KLRG1,8.449421e-06
CD226,4.5477773e-05
CD200,0.00028023607
CD200R1,4.66368e-05
HLA-G,2.339596e-05
KIR2DS2,0.001667214
CLEC2D,2.5463041e-06
KLRB1,1.502151e-05
XDH,4.440459e-05
BTN1A1,8.653083e-05
ITGB6,0.0046981005
TGFB1,0.001260978
LTBP4,0.0003073156
ITGA8,0.00033198332
ITGB8,2.8656705e-05
SNCAIP,0.0019132538
PRKN,0.10564577
SNCA,0.63355786
USP9X,0.015014508
SORL1,0.00016224293
APP,0.00032173024
ATG12,0.0040574893
ATG7,0.0040352154
ATG10,0.0009857166
ATG5,0.0039191865
CIDEA,3.580802e-05
CIDEC,4.850866e-05
PDGFRB,0.23295234
PDGFRA,0.07784505
TGFBR2,0.0043619885
YWHAB,0.0060225567
MAP2K2,0.011052639
MAP2K1,0.45043415
KSR1,0.00079780194
MARK3,0.002847734
CDK9,0.001434301
CCNT1,0.099883586
ISCA2,0.00019175814
ISCA1,4.2168776e-06
NLRX1,0.0022319346
MAVS,0.09862421
ROBO1,0.0061951065
SLIT2,0.012122591
NTF3,0.00023361045
AKAP5,0.021057837
ROBO3,3.7858405e-05
CFH,0.0013816323
CD19,0.00031176666
CD81,0.0003329063
SERPING1,0.0006901763
C1S,0.00463869
C1R,8.68332e-05
CPN2,3.210336e-06
CPN1,2.1126581e-05
L1CAM,0.053775046
NRP1,0.062366843
ITGA9,0.017956402
MAPK3,0.44537923
MAPK1,0.17589992
C6,0.001517026
FARSA,0.00047211873
FARSB,0.0012824355
HBB,0.012009924
HBA1,0.018743457
HBA2,0.0074671865
SMURF2,0.008855244
SMURF1,0.45172825
NEDD4L,0.22451447
STUB1,0.8793435
UBE2M,0.0022119735
NEDD8,0.001231617
RNF20,0.042055786
RNF40,0.0062701814
FRK,0.00061622844
TRIM27,0.00029711964
ITGA11,0.00023775696
ITGAD,0.011524836
ITGAE,0.000133294
HSPG2,0.060202178
LDHA,0.00038507723
LDHB,0.000106328545
SUCLG1,0.00018057675
SUCLG2,0.00017998354
SUCLA2,8.167904e-06
TIMP1,0.01120274
MMP9,0.01850125
MMP14,0.01116002
TIMP2,0.038092908
RBBP7,0.0069147986
HAT1,0.15035343
PAX3,0.0042475867
NCOA1,0.96450436
BAP1,0.43575615
HCFC1,0.47366574
TAB1,0.29175898
SKP2,0.020503873
UFD1,0.0013896544
